kalimat_id,kata,sense,preprocessed
835884,jaringan,3601,sel t telah sintesis kelenjar timus sebut sel t cd naif bahasa inggris naive t cell bawa sirkulasi darah hingga masuk dalam limpa migrasi dalam jaringan limfatik kemudian migrasi ke sirkulasi darah hingga suatu jadi stimulasi antigen tentu dengat ikat molekul mhc kelas ii
964212,membawa,3001,awal tahun tim jual midland group tetap membawa nama jordan balap akhir musim kemudian ganti nama tim jadi mf racing mulai musim balap
952828,membawa,3005,tahun ikut lippi angkat latih kepala italia membawa akhir salah satu periode manajerial paling produktif sejarah juventus
965243,membawa,3001,november narada maha thera membawa pohon bodhi candi thich ca phat vietnam selatan buat banyak kunjung negara sebut lama tahun -an
1010775,mengikat,2202,kaisar asyur sibuk perang saudara revolusi tahta raja psamtik putus hubung orang asyur mengikat hubung gyges raja lydia sewa tentara bayar caria yunani tahan serang asyur
1010515,mengikat,2203,bagi dua saran yang mengikat siapa hanya makna sekadar guyon tidak timbul ruwet siapa
1010477,mengikat,2202,patangatus-patang-puluh ikang cakakala s m raja pali mengikat sahabat raja cina raja cina
1010291,mengikat,2203,literatur fiqih ahl-al-hall wa al-aqd orang penuh syarat mengikat bubar buat putus
1010239,mengikat,2204,pusat hg mengikat ikat rangkap tiga cc kemudian serang air
1010165,mengikat,2204,asam mengikat logam racun per alumunium danau
1025728,nilai,1504,umum guna nilai ms mudah
1036881,nilai,1501,sektor tani beri kontribusi besar persen nila rp miliar
1024268,nilai,1503,kandung nilai hidup unsur sama sosial serasi lingkung hidup
1033210,nilai,1501,juluk narogong milik usaha konveksi jalan narogong bekas andi tuntut jaksa tuntut umum kpk sidang agenda baca tuntut desember upa hukum penjara lama tahun denda besar rp miliar subsider bulan penjara wajib bayar uang ganti nilai usd juta
1033865,nilai,1504,jenis definisi sebut ipvaddr x tafsir uint nilai x alamat ip
1029209,nilai,1501,resmi taman bal kemudian ikut wujud taman dunia islam luas m nilai total proyek juta euro di resmi tanggal july
1026050,nilai,1502,norma nilai kisar a baik e gagal
1037159,nilai,1502,tingkat didik tinggi ip hitung rerata norma nilai oleh orang mahasiswa mata kuliah sebut beri bobot angka kredit
826303,jam,0902,paroki rantau pulut masuk salah satu paroki dalam kalimantan tengah pusat paroki jarak jam jalan darat kota sampit jam jalan darat dari palangka raya via sampit
831228,jam,090c,diri band nama jam rock sama ricky tedy bass budi haryono mantan drumer gigi tiket tak lama kemudian tinggal
827160,jam,0902,akibat aksi teroris presiden ri dapat tekan amerika ultimatum dalam kali jam perintah ri hasil keluar kelly pulau pasu khusus navy seal amerika ambil alih serang
826423,jam,0903,sore hari jam satu siang atas biasa kutasari atau pasar tobong akan sulit sekali jumpa kol kuning alternatif akan rogok kocek sekitar perak sampai candinata
828629,jam,0904,usaha listrik negara nyata listrik pulih bagi besar lombok beberapa jam gempa listrik pulau padam
830509,jam,0902,satu jam adalah film drama indonesia rilis tanggal oktober
825131,jam,0902,misal orang tenaga ajar honorer punya beban ajar jam minggu honor besar rp - jam dalam masa empat minggu bulan hanya dapat honor rp -
830715,jam,0902,wombat kukang koala milik tingkat metabolisme rendah ekor mamalia istirahat gerak jam hari banyak waktu sebut guna tidur
825878,jam,0901,satelit msg diameter m tinggi m putar lawan arah jarum jam cepat rpm tinggi km
827506,jam,0902,sama tawan lain dapat tugas buka hutan suatu gunung kabut pecah batu buat barak salur air listrik bengkel lain lama hari minggu jam hari
831099,jam,0902,cikelet belah selatan pusat kota garut biasa sebut garut selatan garsel garsela jarak tempuh waktu jam jalan sekitar km garut kota
827345,jam,0904,luar jam sekolah sebut siswa interaksi keluarga masyarakat
825471,jam,0904,tiongkok jam tayang utama ada pukul hingga biasa sebut golden time
825788,jam,0904,awal karier super james undur diri ingin fokus sekolah tidak mau ganggu jam sekolah
826205,jam,0902,waktu ajar wajib sebut hari rabu kamis dapat tambah ajar banyak jam ajar hingga pukul wib
828699,jam,0901,meski rupa wilayah huni al karama kenal dubai pusat furnitur murah jual barang merek tas tangan jam tangan
831767,jam,0903,sabtu juni dies natalis ke- th bandung ada aula barakgebouw a mulai jam iring lagu di mana hadir majelis kurator direktur didik agama residen bupati jabat instansi perintah sipil militer kalang swasta undang lain
831128,jam,0902,tengah jam kemudian tidak mungkir mati
827696,jam,0902,tuju desa sawarna wisatawan habis waktu - jam jalan guna transportasi pribadi - jam apabila guna transportasi umum
830669,jam,0903,sinetron tayang ulang antv hari jam pagi season dua
827764,jam,0903,jam kerja antara pukul - subuh
828344,jam,0904,matius milik interpolasi tanda tanda bintang ketika perwira kembali rumah jam ia temu budak baik
830805,jam,0904,bingung sering muncul ajar efek adalah efek laku arah amat a amat jam amat b detak lebih lambat efek maka amat b akan amat jam amat a detak lebih lambat
831749,jam,0901,kota arah jarum jam utara bushwick brooklyn flatlands gravesend new utrecht flatbush tengah
831509,jam,0902,tanggal pilih tepat aksi rupa laku situs seperti reddit langsung lama jam januari pukul utc
914085,ketat,4103,ukraina merdeka dana kelola zona awal sangat batas zona sebut jaga ketat huni huni liar
913962,ketat,4102,puisi buku mati kecil kartosoewirjo cipta batas wilayah cukup ketat aspek data sejarah baik dokumentasi foto data tulis ujar lisan
913933,ketat,4102,negosiasi simpul tahun ditandatanganinya janji ec-as dagang pesawat sipil besar tetap disiplin dukung perintah dua sisi atlantik cara signifikan lebih ketat atur organisasi dagang dunia wto relevan
913765,ketat,4103,pesawat harus ikut skedul maitenance ketat jamin semua sensor servo kerja baik
914277,ketat,4103,main dapat lewat garis jaga ketat lawan
914453,ketat,4101,elektron ada padat konduktor sendiri rupa kuasipartikel kungkung ketat temperatur dekat nol absolut perilaku olah belah lebih jauh jadi kuasipartikel spinon holon
914611,ketat,4104,anomi jadi ketika dapat disjungsi ketat norma tuju cultural struktur sosial anggota kelompok tindak norma tuju sebut
914590,ketat,4103,semangat hormat adonai percaya hukum kekal jaga ketat suci ajar
913773,ketat,4102,semua seleksi ketat mulai iq kesemaptaan ahli spesialisasi militer butuh sehat
913851,ketat,4103,itu kepala komite tempat awas ketat rakyat
913754,ketat,4102,bijak ikonoklasme leo terus konstantin v baru kampanye tentang sembah berhala tahun lebih ketat banding belum
913758,ketat,4102,atur lebih ketat terap negara aju pinjam dmi
914414,ketat,4103,negara sumbu gerak seluruh elemen politik suatu jalin rasional kontrol ketat guna instrumen kuasa
914150,ketat,4102,human rights watch meski kuba cara resmi ateis saat mungkin peluang lebih besar ekspresi agama yang jadi tahun belum telah mungkin beberapa kelompok manusia jalan agama operasi perintah tahan kontrol ketat lembaga agama kelompok afiliasi anut alir percaya
914370,ketat,4101,demikian sambung ketat gabung sama sitoskeleton sel dekat
914228,ketat,4103,jalur rel buat jepang hindar kota padang samudera hindia jaga ketat kapal perang sekutu
914757,ketat,4103,lepas perang diponegoro selesai perintah nagari ada tangan patih dalem kontrol ketat sekali belanda cegah jadi ronta
914289,ketat,4102,schilling austria salah satu mata uang eropa cukup stabil nila tinggi bijak moneter ketat perintah austria bank sentral
913682,ketat,4102,spetsnaz milik reputasi segani kalang militer dunia standar latih golong sangat keras utama spetsnaz militer meski unit kgbfsb mvd tetap standar golong ketat keras latih rekrut personil
914314,ketat,4102,artikel sebut lapor belum lama perang dunia ii the times terap bijak ketat lapor berita editorial minimal lapor kena holocaust
913958,ketat,4103,michael bujuk billy senang - senang dia pakai pakai wanita remeh suatu halang ketat masyarakat kelas kerja expressing yourself
913957,ketat,4102,invertasi portfolio sebut cukup ketat dana fbr fokus akre seringkali punya hingga lusin dana ranking baik diri dari total aset
914015,ketat,4101,timbang sedang ada tempat lubang gabung bagi skala hasil koneksi bentuk ketat bushing gelang
913893,ketat,4102,inisiatif dan lain definisi ketat karya izin drama musik tari seni lain masuk larang langsung karya tidak tuju
913946,ketat,4102,dik dua orang tua keras disiplin tinggi juga dapat pengajaranyang ketat asuh penuh perhati gembleng gang prinsip hidup agama kyai haji sukri sutan hasan halim
943537,mata,1001,lukis dinding goa di dinding karang antara yang upa cap tangan babi rusa burung manusia perahu lambang matahari lukis mata bagai
942696,mata,1002,mungkin nama narmada guna nama nama mata air bentuk beberapa kolam buah sungai tempat sebut
948680,mata,1001,larut konsentrasi tinggi sebab luka mata parah
946210,mata,1001,apabila ada sinar sumber cahaya pantul suatu benda kemudian tiba mata benda sebut kata lihat
944016,mata,1001,semua jenis kucing siam milik pola warna bulu sama mata warna biru
950617,mata,1002,ngaren letak sisi utara camat ngadirejo mata cahari duduk dominasi oleh bidang tani
950959,mata,1003,awal abad ke- sceat rupa mata uang pertama edar
946059,mata,1006,di mata gerilyawan tiga lebih sikap kepala suku otoriter ketimbang pimpin pasu lawan ahli atur strategi perang
944303,mata,1001,daruma jual dua belah mata belum gambar
946751,mata,1003,itu perintah maksud keluar mata uang baru sebut kenkon tsuho surat perintah itu keluar hingga sekarang surat sebut temu
950581,mata,1002,moga museum akan jadi mata air alir kiprah beri arah ajak bijak tindak kelana temu makna generasi muda negeri
947824,mata,1006,bahkan mati suami emma tetap ada mata publik terus partisipasi aktif dunia politik
944993,mata,1001,rona mata tambah dalam dimensi mata orang imbang warna mata hanya mata tampak lebih tarik
950610,mata,1002,sumber air minum asal pdam mata air
951989,mata,1006,menara masing-masing mata baris ikut sistem sederhana sinyal semaphore guna antara
948531,mata,100b,markah tanah kenal london lain antara istana buckingham mata london katedral santo paulus piccadilly circus jembatan menara stadion wembley jembatan london trafalgar square
947560,mata,1003,bagai tugas imbal tantang sedia mungkin main dapat mata uang game mungkin main oleh lebih banyak kartu koleksi
943561,mata,100x,gera lahir semata - mata mikat hati tarik simpati bangsa indonesia mau bantu jepang
952202,mata,1006,saksi mata selamat lapor ia kerja rajin mati tampak hidup air kapal tenggelam
951692,mata,1003,rupee nama jenis mata uang guna beberapa negara india pakistan sri lanka nepal mauritius seychelles
943844,mata,1002,cloud buat mata kuliah tentu
951931,mata,1002,wilayah grabag pula dapat buah mata air besar nama tuk mas rupa suplai utama air pdam kota magelang
952035,mata,1004,naginata punya mata pedang membunyai panjang cm pasang poros kawat
951476,mata,100b,sma negeri padang rupa salah satu sekolah tengah atas negeri alamat jalan sutan syahrir nomor mata air padang selatan padang sumatera barat
946697,mata,1002,sektor kebun sektor tani juga jadi mata cahari duduk
965356,membawa,3007,walaupun karena masuk tumbuh serbu silang mudah jadi rekombinasi sifat membawa tingkat ragam cukup tinggi
954646,membawa,3004,mantan manajer baya pernah skor tahun membawa baya puruk divisi satu
953024,membawa,3007,ini membawa laksana indonesian youth day pertama selenggara sanggau
953012,membawa,3004,tentang diet mas wasisto teman setia ndaru selalu membawa suasana canda
961276,membawa,3004,masuk pikir nasionalisme membawa ubah besar tajam bosnia
957412,membawa,3001,sampa kafe taruh surat lamar mahdi tak sengaja tabrak melodi adzana adi bing slamet usaha butik sedang membawa sampel bahan presentasi sama klien kafe sama
960333,membawa,3005,itu tiga beda utama sangkakala hakim cawan hukum pertama sangkakala hakim malapetaka membawa parsial hancur malapetaka atas alam orang cawan hukum serang lebih parah langsung umat manusia alam membawa lebih banyak kacau bumi sangkakala hakim
956531,membawa,3001,pesawat bisa membawa bom konvensional fab--kg lb raksasa tunggal tara rusia bom grand slam inggris bagai senjata nuklir jarak tempuh km mil
955681,membawa,3001,banyak orang jawa rantau malaysia turut membawa bahasa budaya jawa malaysia dapat kawasan mukim yang kenal nama kampung jawa padang jawa
963823,membawa,3004,van marwijk membawa oranje final piala dunia tahun prestasi tinggi tiga dan mana oranje juluk timnas belanda masuk final kemudian kalah argentina jerman barat
963199,membawa,3003,alas taufan karena ingin buat kamila bahagia membawa fadil asli
966385,membawa,3005,makna mohon berkat tuhan padi tanam hasil bulir lipat hingga membawa makmur masyarakat
958961,membawa,3001,tetapi fitzgerald gagal kumpul cukup dukung irlandia pada bulan oktober bala tentara kuat prajurit inggris wales darat irlandia membawa empat senjata kepung modern
954427,membawa,3001,wanita datang membawa nasi tumpeng leta tengah
963336,membawa,3004,datang notts county membawa schmeichel jadi main mahal nilai juta pound per tahun
956272,membawa,3001,pulang membawa minum alkohol putar lagu keras mungkin usir rasa sakit
957066,membawa,3004,hancur dapat akibat tempur membawa india tuju zaman depresi sosial ekonomi kaliyuga zaman gelap dapat akhir jangka waktu lama
952961,membawa,3003,lain waktu anak laki laki vito michael rupa angkat laut datang membawa kasih kay adams
960301,membawa,3005,merdeka negeri capai nasib membawa untung masing-masing
956518,membawa,3005,mah yakin anak lahir bulan suro di bulan muharam nanti membawa sial anggap anak jin
955254,membawa,3007,membawa konsep trading market khusus jual fashion show hadir nama trademark guna hingga sekarang
956360,membawa,3007,cerita film mulai melia zreiq orang perempuan tua eilaboun kata harap tuhan membawa damai negeri dan wujud masyarakat mampu tinggal sama buah hidup indah
960386,membawa,3003,upa simbolik mungkin ambil bahasa alkitab temu maka aku membawa kamu dalam buang jauh seberang damsyik
956779,membawa,3002,kapal milik bobot hingga ton mampu membawa hingga senjata tahan
952958,membawa,3001,beri dispensasi khusus membawa pedang adil sebut benar larang dispensasi tidak beri jabat negeri han sejak xiao he
997820,mengandung,2301,alkitab froschauer mengandung lebih ilustrasi jadi buah karya cetak penting saat
996008,mengandung,2301,polibutena biasa buat campur cracking c stream beri laku merox hilang belerang amina mengandung -butena -butena isobutilena
998840,mengandung,2301,banyak mengandung protein asam lemak tak jenuh
999751,mengandung,2301,palu buat baja cipta bunga api pada industri tambang batu bara dapat metana dalam industri lingkung bahaya mengandung gas mudah bakar guna palu baja
997545,mengandung,2301,es krim umum mengandung lebih udara proses adu
995743,mengandung,2301,emoticons blok unicode mengandung representasi grafis wajah manusia sering kait emotikon klasik
1000732,mengandung,2301,batang banyak mengandung silika
995486,mengandung,2302,spesies genus mengandung bukan telur
997993,mengandung,2301,orang mesir lihat proses cipta mengandung banyak aspek libat banyak kuat
999198,mengandung,2301,lapis mengandung buluh darah akar rambut ujung saraf kelenjar keringat kelenjar minyak
994929,mengandung,2301,minyak jagung mengandung ubiquinon alfatokoferol tinggi gamma-tokoferol tinggi dapat hindar tengik oksidatif
998224,mengandung,2301,darah sudah mengandung oksigen tuju atrium kiri lewat ventrikel kiri pompa tuju seluruh tubuh lalu aorta mana oksigen pakai lalu metabolisme jadi karbon dioksida
996401,mengandung,2301,tubuh rupa materi luas spasial budi rupa substansi pikir mengandung jiwa rasional
999407,mengandung,2301,lisosom mengandung enzim asam bunuh cerna partikel organisme
995538,mengandung,2301,contoh lain formasi besi sangat lapuk brasil jadi tunjuk konsentrasi emas mengandung limonit tanah
997584,mengandung,2301,buku tahun seven hundred sandwiches cakup bagi roti lapis bacon resep sering masuk acar tidak yang mengandung tomat
994817,mengandung,2301,lanjut plumeria cendana meski bau harum getah mengandung racun dapat timbul rasa gatal
997497,mengandung,2301,anggap cattell pantas dapat teliti teliti social intelligence anggap ras mengandung unsur nazi
999053,mengandung,2301,biji milik salut biji manfaat bila mentah sangat racun mengandung asam sianida konsentrasi tinggi
996407,mengandung,2301,ilmenit sangat sering mengandung jumlah magnesium mangan rumus kimia penuh fe mg mn ti ilmenit bentuk larut padat geikielit pirofanit rupa bagi kelompok larut padat
999448,mengandung,2301,indonesia syarat hasil temu akan paten baru pernah ungkap belum mengandung langkah inventif dapat duga belum dapat terap industri
997333,mengandung,2301,kelopak nomor mengandung orbital
995776,mengandung,2301,gurmukhi blok unicode mengandung karakter bahasa punjabi
995216,mengandung,2301,organon buah judul beri karya logika aristoteles mengandung arti logika suatu alat guna oleh tahu filosofis untuk kerja filsafat tidak anggap suatu tuju diri sendiri
997876,mengandung,2301,ikut daftar makan mungkin mengandung tartrazin
1016473,menjaga,2702,tentara tengah menjaga stasiun membunh sangka hingga tembak dasar terang saksi mata
1014231,menjaga,2702,kemudian beberapa anak harimau beri kuil waktu waktu biasa ibu bunuh buru orang yang singkir harimau hewan pelihara mereka ada bawah tekan laku hukum bijak putar menjaga spesies lindung jadi lebih ketat
1017503,menjaga,2701,sandi playfair anggap aman untuk menjaga suatu rahasia pesan komputer peranti lunak tentu pecah suatu sandi hitung detik
1017926,menjaga,2701,umpama schopenhauer gambar kelompok landak perlu saling sentuh buah hangat usaha menjaga jarak tidak saling luka duri
1017521,menjaga,2704,unjung minta menjaga jalan hindar tunjuk makan makan hewan mungkin rebut
1015081,menjaga,2703,syukur sosok ibnu munzir mampu menjaga diri terus buat sembah baik sulawesi barat
1014977,menjaga,2702,operasi dynamo selesai hadap masalah besar menjaga air dover invasi jerman invasi telah kira
1017465,menjaga,2703,rang sungai kuning guanzhong wilayah pinggir chang an li yuan tugas li jiancheng liu wenjing ke timur menjaga terus tong lumbung yongfeng atas segala mungkin datang bala bantu sui ibukota timur luoyang
1018077,menjaga,2701,beberapa ajar terang proklamasi pribadi gung ye buddha upaya kukuh kuasa ia rupa anggota raja silla milik pengaruh atas tuan tanah dagang lokal jadi usaha guna kuasa agama menjaga perintah bukti efektif
1018480,menjaga,2701,beberapa jenis bakteri hidup dalam salur cerna tidak serap nutrisi juga peran menjaga sehat salur cerna tingkat imunitas tubuh
1016675,menjaga,2703,ratu dasyu tolak menjaga puru usaha bawa ke raja paurav
1018771,menjaga,2701,salah satu peran penting bhinneka tunggal ika hidup warga indonesia menjaga satu negara republik indonesia
1015860,menjaga,2703,aleksander cepat hukum mati karena benar tugas menjaga makam koresh sebut sangat hormat aleksander
1015805,menjaga,2701,fenomena sebut serat birefringence dapat netral menjaga polarisasi serat optik
1017175,menjaga,2701,tetap perhati detail jalan tugas resmi kaisar walaupun seringkali antusias ia lagi laku campur tangan langsung menjaga stabilitas negara
1017414,menjaga,2701,orang ilmuwan pakai baju kriogenik menjaga suhu tubuh tetap rendah
1018355,menjaga,2702,tiga divisi rsi italia littorio divisi infanteri ke- italia san marco marine divisi italia monte rosa alpine divisi alokasi lxxvii liguria tentara bawah graziani tempat menjaga sisi barat garis gothic hadap perancis
1016614,menjaga,2701,kondisi ada biasa capai menjaga suhu reaksi tetap dengan guna medium kuat ionik relatif tinggi larut
1014535,menjaga,2701,banyak fakta arah suatu duga priory of sion rupa buah organisasi menjaga ketat rahasia sejarah kristiani versi beda kitab injil edar masyarakat
1015246,menjaga,2703,sebut suatu bentuk brutal polisi buat korban ada tak daya lempar sana kemari dalam mobil akibat cara kemudi menghentak-hentak sengaja korban dapat menjaga diri aman kekang
1016956,menjaga,2701,ceret surya guna teknologi tabung surya kedap udara fasilitas kedap udara dapat menjaga air sudah panas tetap panas panjang malam
1016134,menjaga,2703,aman poso mereka bukan andil kandidat tahana tetapi lalu upaya perintah pusat aparat aman menjaga aman tertib
1018094,menjaga,2701,latih liput guna lengkap falconry kerudung rufter ikat kaki jesses menjaga burung tetap ada kendali
1017921,menjaga,2702,perang libat bagai diadokhoi tuju utama plotemaios menjaga aman mesir kemudian kuasa daerah sekitar mesir lain kyrenaika siprus suriah masuk provinsi yudea
1015878,menjaga,2701,sejak permafrost cair perlahan-lahan sedia mantap sumber air letus menjaga air magma terlalu rendah
71739,badan,1403,sudah lihat negara eropa badan wakil parlementaire demokratie
71318,badan,1403,survei bom strategis amerika serikat buah badan pakar tugas buat jelas dampak bom strategis inggris-amerika jerman nazi teater eropa perang dunia ii
74694,badan,1401,hanoch salah orang orang sargon klaim badan spock cocok fisiologi aliennya rupa hibrid manusia-vulcan
76411,badan,1401,anto milik tinggi badan cm berat kg
69734,badan,140c,tahun anggota badan swapraja tiga orang tambah satu orang ponggawa laiwoi di jabat bunggasi
657961,dalam,4010,wanita empat dalam sejarah sapu gelar grand slam ganda putri dalam tahun kalender tahun ganda tahun
